Game#,Date,Home Team,Away Team,Home Score,Away Score,N/CT/NT,Winning Team,Losing Team,Margin
424,331,Elon,Indiana,4,5,N,Indiana,Elon,1
425,401,Incarnate Word,Texas Tech,2,20,,Texas Tech,Incarnate Word,18
426,401,Texas A&M,Arkansas,22,5,N,Texas A&M,Arkansas,17
427,401,Illinois State,Southern Illinois,19,2,,Illinois State,Southern Illinois,17
428,401,Loyola Marymount,USC,3,20,,USC,Loyola Marymount,17
429,401,Simon Fraser,Western Washington,19,3,,Simon Fraser,Western Washington,16
430,401,Colorado,Utah Valley,21,6,,Colorado,Utah Valley,15
431,401,Iowa State,Kansas State,20,6,,Iowa State,Kansas State,14
432,401,North Texas,SMU,8,21,,SMU,North Texas,13
433,401,Kansas,Nebraska,17,4,,Kansas,Nebraska,13
434,401,Kansas State,St. Cloud State,5,16,N,St. Cloud State,Kansas State,11
435,401,Utah State,Brigham Young,5,15,,Brigham Young,Utah State,10
436,401,Sonoma State,Chico State,12,3,,Sonoma State,Chico State,9
437,401,Washington,Washington State,16,7,,Washington,Washington State,9
438,401,Virginia Tech,Michigan State,12,4,N,Virginia Tech,Michigan State,8
439,401,Arizona,UNLV,20,13,,Arizona,UNLV,7
440,401,Northeastern,Indiana,9,2,N,Northeastern,Indiana,7
441,401,Davenport,Miami (OH),16,9,,Davenport,Miami (OH),7
442,401,George Washington,Tennessee,8,3,N,George Washington,Tennessee,5
443,401,Boston College,South Carolina,8,11,N,South Carolina,Boston College,3
444,401,Elon,Purdue,10,13,N,Purdue,Elon,3
445,401,Texas State,Oklahoma,13,10,,Texas State,Oklahoma,3
446,401,Utah,Boise State,10,11,,Boise State,Utah,1
447,401,Central Florida,Florida,10,11,,Florida,Central Florida,1
448,401,Minnesota St. Mankato,Central Michigan,10,11,N,Central Michigan,Minnesota St. Mankato,1
449,401,Pittsburgh,North Carolina State,7,6,N,Pittsburgh,North Carolina State,1
450,401,Colorado State,Georgia Tech,11,12,,Georgia Tech,Colorado State,1
451,401,Central Conn. State,Buffalo,8,9,,Buffalo,Central Conn. State,1
452,401,Connecticut,Florida State,7,8,N,Florida State,Connecticut,1
453,402,Louisiana Tech,Arkansas,17,26,,Arkansas,Louisiana Tech,9
454,402,Central Florida,Miami (FL),17,8,,Central Florida,Miami (FL),9
455,402,North Carolina State,Indiana,11,5,N,North Carolina State,Indiana,6
456,402,Cal Poly,Chapman,13,7,,Cal Poly,Chapman,6
457,402,Rhode Island,Buffalo,6,12,,Buffalo,Rhode Island,6
458,402,UCLA,Claremont,7,13,,Claremont,UCLA,6
459,402,South Carolina,Purdue,12,7,N,South Carolina,Purdue,5
460,402,Pittsburgh,Northeastern,12,15,N,Northeastern,Pittsburgh,3
461,402,Liberty,Connecticut,6,9,,Connecticut,Liberty,3
462,402,Louisiana State,Texas A&M,9,11,,Texas A&M,Louisiana State,2
463,402,Western Michigan,Miami (OH),10,11,,Miami (OH),Western Michigan,1
464,402,West Virginia,Tennessee,10,11,N,Tennessee,West Virginia,1
465,402,Boston College,Michigan State,12,11,N,Boston College,Michigan State,1
466,402,Clemson,Charleston,1,0,,Clemson,Charleston,1
467,402,Texas,Oklahoma,9,8,,Texas,Oklahoma,1
468,405,Claremont,Chapman,4,18,,Chapman,Claremont,14
469,405,Connecticut,Worcester Polytechnic,13,4,,Connecticut,Worcester Polytechnic,9
470,406,Texas,Texas State,12,4,,Texas,Texas State,8
471,406,UC Santa Barbara,USC,18,11,,UC Santa Barbara,USC,7
472,406,Brigham Young,Colorado State,10,11,,Colorado State,Brigham Young,1
473,406,Utah,Colorado,12,11,,Utah,Colorado,1
474,407,Arkansas,Pittsburg State,24,3,,Arkansas,Pittsburg State,21
475,407,Georgia Tech,Auburn,23,4,,Georgia Tech,Auburn,19
476,407,Missouri,St. Louis U.,19,3,,Missouri,St. Louis U.,16
477,407,Kansas State,Benedictine (KS),5,18,,Benedictine (KS),Kansas State,13
478,407,Grand Canyon,Arizona,18,7,,Grand Canyon,Arizona,11
479,407,Simon Fraser,Boise State,11,0,,Simon Fraser,Boise State,11
480,407,Nevada,California,8,19,,California,Nevada,11
481,407,Mississippi,Clemson,11,13,,Clemson,Mississippi,2
482,407,Liberty,Davenport,16,14,,Liberty,Davenport,2
483,407,Central Michigan,Western Michigan,12,11,,Central Michigan,Western Michigan,1
484,407,Santa Clara,Stanford,8,7,,Santa Clara,Stanford,1
485,408,Georgia Tech,Vanderbilt,22,1,,Georgia Tech,Vanderbilt,21
486,408,Miami (FL),Florida,4,24,,Florida,Miami (FL),20
487,408,Chico State,California,1,20,,California,Chico State,19
488,408,Virginia Tech,Tennessee,22,5,,Virginia Tech,Tennessee,17
489,408,UCLA,Loyola Marymount,14,2,,UCLA,Loyola Marymount,12
490,408,Cal Poly,Sonoma State,23,13,,Cal Poly,Sonoma State,10
491,408,Idaho,Oregon,5,15,,Oregon,Idaho,10
492,408,UNLV,San Diego State,18,10,,UNLV,San Diego State,8
493,408,Central Michigan,West Virginia,15,8,,Central Michigan,West Virginia,7
494,408,SMU,TCU,13,7,,SMU,TCU,6
495,408,East Carolina,VMI Club,9,4,,East Carolina,VMI Club,5
496,408,North Carolina State,South Carolina,14,10,,North Carolina State,South Carolina,4
497,408,Northeastern,Rhode Island,11,7,,Northeastern,Rhode Island,4
498,408,Florida State,Central Florida,10,6,,Florida State,Central Florida,4
